Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2017
"Multi-day data",,
Glensaugh,,
Start Date,End Date,Ca,Status / units,Cl,Status / units,cond,Status / units,H+,Status / units,K,Status / units,Mg,Status / units,Na,Status / units,NH4-N,Status / units,NO3-N,Status / units,pH,Status / units,PO4-P,Status / units,r,Status / units,SO4-S,Status / units,SO4-S(NM),Status / units,
20/12/2017,08/01/2018,0.098,V mgl-1,2.85,V mgl-1,14.52,V uScm-1,4.571,V ueql-1,0.067,V mgl-1,0.154,V mgl-1,1.53,V mgl-1,0.056,V mgl-1,0.151,V mgl-1,5.34,V pH,0.01,V mgl-1,46.738,V mm,0.162,V mgl-1,0.033,V mgl-1,
Data for year 2018
"Multi-day data",,
Glensaugh,,
Start Date,End Date,Ca,Status / units,Cl,Status / units,cond,Status / units,H+,Status / units,K,Status / units,Mg,Status / units,Na,Status / units,NH4-N,Status / units,NO3-N,Status / units,pH,Status / units,PO4-P,Status / units,r,Status / units,SO4-S,Status / units,SO4-S(NM),Status / units,
08/01/2018,17/01/2018,0.526,V mgl-1,10.3,V mgl-1,68.2,V uScm-1,16.982,V ueql-1,0.345,V mgl-1,0.74,V mgl-1,6.35,V mgl-1,1.24,V mgl-1,1.62,V mgl-1,4.77,V pH,<-0.01,V mgl-1,8.834,V mm,0.97,V mgl-1,0.437,V mgl-1,
17/01/2018,31/01/2018,0.145,V mgl-1,2.95,V mgl-1,15.27,V uScm-1,10.715,V ueql-1,0.09,V mgl-1,0.174,V mgl-1,1.59,V mgl-1,0.251,V mgl-1,0.23,V mgl-1,4.97,V pH,<-0.01,V mgl-1,23.041,V mm,0.25,V mgl-1,0.116,V mgl-1,
31/01/2018,14/02/2018,0.218,V mgl-1,5.49,V mgl-1,26.2,V uScm-1,1.288,V ueql-1,0.144,V mgl-1,0.314,V mgl-1,3.18,V mgl-1,0.192,V mgl-1,0.249,V mgl-1,5.89,V pH,<-0.01,V mgl-1,17.128,V mm,0.363,V mgl-1,0.096,V mgl-1,
14/02/2018,09/03/2018,0.123,V mgl-1,3.35,V mgl-1,25.1,V uScm-1,15.136,V ueql-1,0.092,V mgl-1,0.193,V mgl-1,1.71,V mgl-1,0.319,V mgl-1,0.305,V mgl-1,4.82,V pH,<-0.01,V mgl-1,46.981,V mm,0.455,V mgl-1,0.311,V mgl-1,
09/03/2018,14/03/2018,0.087,V mgl-1,1.19,V mgl-1,10.3,V uScm-1,2.692,V ueql-1,0.059,V mgl-1,0.079,V mgl-1,0.584,V mgl-1,0.383,V mgl-1,0.428,V mgl-1,5.57,V pH,<-0.01,V mgl-1,16.56,V mm,0.158,V mgl-1,0.109,V mgl-1,
