,type,Month,number,year,quarter
0,Diesel,2024 Q2,640800,2024, Q2
1,Petrol-Electric,2024 Q2,242800,2024, Q2
2,Other,2024 Q2,220900,2024, Q2
3,Petrol,2024 Q2,1894000,2024, Q2
4,Diesel,2024 Q1,647300,2024, Q1
5,Petrol-Electric,2024 Q1,233000,2024, Q1
6,Other,2024 Q1,207800,2024, Q1
7,Petrol,2024 Q1,1897300,2024, Q1
8,Diesel,2023 Q4,658700,2023, Q4
9,Petrol-Electric,2023 Q4,222500,2023, Q4
10,Other,2023 Q4,194400,2023, Q4
11,Petrol,2023 Q4,1903100,2023, Q4
12,Diesel,2023 Q3,678800,2023, Q3
13,Petrol-Electric,2023 Q3,213500,2023, Q3
14,Other,2023 Q3,182000,2023, Q3
15,Petrol,2023 Q3,1914100,2023, Q3
16,Diesel,2023 Q2,718900,2023, Q2
17,Petrol-Electric,2023 Q2,202300,2023, Q2
18,Other,2023 Q2,167800,2023, Q2
19,Petrol,2023 Q2,1909500,2023, Q2
20,Diesel,2023 Q1,750500,2023, Q1
21,Petrol-Electric,2023 Q1,193000,2023, Q1
22,Other,2023 Q1,153400,2023, Q1
23,Petrol,2023 Q1,1899100,2023, Q1
24,Diesel,2022 Q4,777200,2022, Q4
25,Petrol-Electric,2022 Q4,185200,2022, Q4
26,Other,2022 Q4,140400,2022, Q4
27,Petrol,2022 Q4,1897600,2022, Q4
28,Diesel,2022 Q3,796700,2022, Q3
29,Petrol-Electric,2022 Q3,179300,2022, Q3
30,Other,2022 Q3,129000,2022, Q3
31,Petrol,2022 Q3,1903800,2022, Q3
32,Diesel,2022 Q2,811000,2022, Q2
33,Petrol-Electric,2022 Q2,170700,2022, Q2
34,Other,2022 Q2,120900,2022, Q2
35,Petrol,2022 Q2,1909200,2022, Q2
36,Diesel,2022 Q1,823900,2022, Q1
37,Petrol-Electric,2022 Q1,163200,2022, Q1
38,Other,2022 Q1,113000,2022, Q1
39,Petrol,2022 Q1,1905800,2022, Q1
40,Diesel,2021 Q4,841200,2021, Q4
41,Petrol-Electric,2021 Q4,155000,2021, Q4
42,Other,2021 Q4,102400,2021, Q4
43,Petrol,2021 Q4,1905400,2021, Q4
44,Diesel,2021 Q3,868600,2021, Q3
45,Petrol-Electric,2021 Q3,150500,2021, Q3
46,Other,2021 Q3,92100,2021, Q3
47,Petrol,2021 Q3,1906500,2021, Q3
48,Diesel,2021 Q2,916700,2021, Q2
49,Petrol-Electric,2021 Q2,144100,2021, Q2
50,Other,2021 Q2,82000,2021, Q2
51,Petrol,2021 Q2,1900800,2021, Q2
52,Diesel,2021 Q1,935100,2021, Q1
53,Petrol-Electric,2021 Q1,136600,2021, Q1
54,Other,2021 Q1,73300,2021, Q1
55,Petrol,2021 Q1,1880000,2021, Q1
56,Diesel,2020 Q4,958300,2020, Q4
57,Petrol-Electric,2020 Q4,131500,2020, Q4
58,Other,2020 Q4,67100,2020, Q4
59,Petrol,2020 Q4,1884200,2020, Q4
60,Diesel,2020 Q3,979700,2020, Q3
61,Petrol-Electric,2020 Q3,127000,2020, Q3
62,Other,2020 Q3,61100,2020, Q3
63,Petrol,2020 Q3,1887700,2020, Q3
64,Diesel,2020 Q2,985600,2020, Q2
65,Petrol-Electric,2020 Q2,120500,2020, Q2
66,Other,2020 Q2,52700,2020, Q2
67,Petrol,2020 Q2,1857500,2020, Q2
68,Diesel,2020 Q1,1009100,2020, Q1
69,Petrol-Electric,2020 Q1,120200,2020, Q1
70,Other,2020 Q1,51400,2020, Q1
71,Petrol,2020 Q1,1870700,2020, Q1
72,Diesel,2019 Q4,1027700,2019, Q4
73,Petrol-Electric,2019 Q4,116300,2019, Q4
74,Other,2019 Q4,48200,2019, Q4
75,Petrol,2019 Q4,1868800,2019, Q4
76,Diesel,2019 Q3,1046599,2019, Q3
77,Petrol-Electric,2019 Q3,111500,2019, Q3
78,Other,2019 Q3,44200,2019, Q3
79,Petrol,2019 Q3,1877200,2019, Q3
80,Diesel,2019 Q2,1063600,2019, Q2
81,Petrol-Electric,2019 Q2,105800,2019, Q2
82,Other,2019 Q2,40300,2019, Q2
83,Petrol,2019 Q2,1873000,2019, Q2
84,Diesel,2019 Q1,1075800,2019, Q1
85,Petrol-Electric,2019 Q1,99900,2019, Q1
86,Other,2019 Q1,37800,2019, Q1
87,Petrol,2019 Q1,1860000,2019, Q1
88,Diesel,2018 Q4,1089500,2018, Q4
89,Petrol-Electric,2018 Q4,94800,2018, Q4
90,Other,2018 Q4,35300,2018, Q4
91,Petrol,2018 Q4,1850500,2018, Q4
92,Diesel,2018 Q3,1104700,2018, Q3
93,Petrol-Electric,2018 Q3,90700,2018, Q3
94,Other,2018 Q3,33000,2018, Q3
95,Petrol,2018 Q3,1861100,2018, Q3
96,Diesel,2018 Q2,1113800,2018, Q2
97,Petrol-Electric,2018 Q2,86200,2018, Q2
98,Other,2018 Q2,30800,2018, Q2
99,Petrol,2018 Q2,1864100,2018, Q2
100,Diesel,2018 Q1,1110100,2018, Q1
101,Petrol-Electric,2018 Q1,82200,2018, Q1
102,Other,2018 Q1,29200,2018, Q1
103,Petrol,2018 Q1,1857900,2018, Q1
104,Diesel,2017 Q4,1110200,2017, Q4
105,Petrol-Electric,2017 Q4,79000,2017, Q4
106,Other,2017 Q4,28300,2017, Q4
107,Petrol,2017 Q4,1864900,2017, Q4
108,Diesel,2017 Q3,1116800,2017, Q3
109,Petrol-Electric,2017 Q3,76900,2017, Q3
110,Other,2017 Q3,27400,2017, Q3
111,Petrol,2017 Q3,1884600,2017, Q3
112,Diesel,2017 Q2,1115400,2017, Q2
113,Petrol-Electric,2017 Q2,73100,2017, Q2
114,Other,2017 Q2,26100,2017, Q2
115,Petrol,2017 Q2,1893100,2017, Q2
116,Diesel,2017 Q1,1106800,2017, Q1
117,Petrol-Electric,2017 Q1,70000,2017, Q1
118,Other,2017 Q1,24600,2017, Q1
119,Petrol,2017 Q1,1896300,2017, Q1
120,Diesel,2016 Q4,1099300,2016, Q4
121,Petrol-Electric,2016 Q4,66600,2016, Q4
122,Other,2016 Q4,22000,2016, Q4
123,Petrol,2016 Q4,1903400,2016, Q4
124,Diesel,2016 Q3,1092100,2016, Q3
125,Petrol-Electric,2016 Q3,64000,2016, Q3
126,Other,2016 Q3,20600,2016, Q3
127,Petrol,2016 Q3,1918100,2016, Q3
128,Diesel,2016 Q2,1081000,2016, Q2
129,Petrol-Electric,2016 Q2,60400,2016, Q2
130,Other,2016 Q2,19700,2016, Q2
131,Petrol,2016 Q2,1929200,2016, Q2
132,Diesel,2016 Q1,1064300,2016, Q1
133,Petrol-Electric,2016 Q1,56900,2016, Q1
134,Other,2016 Q1,19100,2016, Q1
135,Petrol,2016 Q1,1934700,2016, Q1
136,Diesel,2015 Q4,1043800,2015, Q4
137,Petrol-Electric,2015 Q4,53700,2015, Q4
138,Other,2015 Q4,18000,2015, Q4
139,Petrol,2015 Q4,1936700,2015, Q4
140,Diesel,2015 Q3,1035599,2015, Q3
141,Petrol-Electric,2015 Q3,50500,2015, Q3
142,Other,2015 Q3,17500,2015, Q3
143,Petrol,2015 Q3,1954800,2015, Q3
144,Diesel,2015 Q2,1020100,2015, Q2
145,Petrol-Electric,2015 Q2,47100,2015, Q2
146,Other,2015 Q2,16900,2015, Q2
147,Petrol,2015 Q2,1962100,2015, Q2
148,Diesel,2015 Q1,996400,2015, Q1
149,Petrol-Electric,2015 Q1,44100,2015, Q1
150,Other,2015 Q1,16300,2015, Q1
151,Petrol,2015 Q1,1959400,2015, Q1
152,Diesel,2014 Q4,974800,2014, Q4
153,Petrol-Electric,2014 Q4,41300,2014, Q4
154,Other,2014 Q4,15700,2014, Q4
155,Petrol,2014 Q4,1965500,2014, Q4
156,Diesel,2014 Q3,971500,2014, Q3
157,Petrol-Electric,2014 Q3,39500,2014, Q3
158,Other,2014 Q3,15500,2014, Q3
159,Petrol,2014 Q3,1997000,2014, Q3
160,Diesel,2014 Q2,953900,2014, Q2
161,Petrol-Electric,2014 Q2,36900,2014, Q2
162,Other,2014 Q2,15000,2014, Q2
163,Petrol,2014 Q2,1999600,2014, Q2
164,Diesel,2014 Q1,928700,2014, Q1
165,Petrol-Electric,2014 Q1,34400,2014, Q1
