region,date,psi_24hr,pm10,pm25,so2,co,o3
national,2016-03-10,52.0,26.0,13.0,14.0,0.6,39.0
south,2016-03-10,52.0,26.0,13.0,7.0,0.31,31.0
north,2016-03-10,50.0,25.0,12.0,3.0,0.44,39.0
east,2016-03-10,34.0,15.0,8.0,5.0,0.6,38.0
central,2016-03-10,43.0,20.0,10.0,7.0,0.35,34.0
west,2016-03-10,42.0,23.0,10.0,14.0,0.44,20.0
national,2016-03-11,56.0,32.0,16.0,8.0,0.79,34.0
south,2016-03-11,54.0,29.0,15.0,8.0,0.42,19.0
north,2016-03-11,56.0,32.0,16.0,4.0,0.79,16.0
east,2016-03-11,51.0,21.0,12.0,6.0,0.47,23.0
central,2016-03-11,55.0,26.0,16.0,6.0,0.61,15.0
west,2016-03-11,44.0,26.0,11.0,8.0,0.66,34.0
national,2016-03-12,52.0,25.0,13.0,7.0,0.44,42.0
south,2016-03-12,52.0,25.0,13.0,5.0,0.29,34.0
north,2016-03-12,52.0,25.0,13.0,3.0,0.29,41.0
east,2016-03-12,50.0,19.0,12.0,3.0,0.44,42.0
central,2016-03-12,50.0,20.0,12.0,3.0,0.42,37.0
west,2016-03-12,43.0,23.0,10.0,7.0,0.3,29.0
national,2016-03-13,52.0,26.0,13.0,3.0,0.51,37.0
south,2016-03-13,52.0,26.0,13.0,3.0,0.3,24.0
north,2016-03-13,42.0,20.0,10.0,3.0,0.46,37.0
east,2016-03-13,52.0,19.0,13.0,2.0,0.51,28.0
central,2016-03-13,49.0,19.0,12.0,3.0,0.43,22.0
west,2016-03-13,49.0,22.0,12.0,3.0,0.23,36.0
national,2016-03-14,53.0,29.0,14.0,5.0,0.61,27.0
south,2016-03-14,53.0,29.0,14.0,2.0,0.34,17.0
north,2016-03-14,44.0,23.0,11.0,3.0,0.61,27.0
east,2016-03-14,44.0,19.0,11.0,2.0,0.58,18.0
central,2016-03-14,53.0,24.0,14.0,3.0,0.51,12.0
west,2016-03-14,40.0,19.0,10.0,5.0,0.31,22.0
national,2016-03-15,55.0,29.0,16.0,9.0,0.58,37.0
south,2016-03-15,55.0,29.0,16.0,5.0,0.28,26.0
north,2016-03-15,53.0,27.0,14.0,2.0,0.58,37.0
east,2016-03-15,55.0,25.0,15.0,3.0,0.56,28.0
central,2016-03-15,54.0,24.0,15.0,4.0,0.36,27.0
west,2016-03-15,53.0,26.0,14.0,9.0,0.27,27.0
national,2016-03-16,56.0,28.0,16.0,3.0,0.95,39.0
south,2016-03-16,56.0,28.0,16.0,3.0,0.33,26.0
