24-hr_psi,north,south,east,west,central
2016-02-07,37.0,44.0,47.0,34.0,47.0
2016-02-08,54.0,57.0,59.0,56.0,57.0
2016-02-09,57.3,58.52,61.61,58.09,57.91
2016-02-10,53.39,54.52,58.83,54.78,54.48
2016-02-11,33.39,35.83,39.17,33.78,32.22
2016-02-12,33.0,38.68,40.63,33.84,39.47
2016-02-13,36.48,44.52,39.83,36.0,47.39
2016-02-14,40.04,36.13,43.22,36.57,37.74
2016-02-15,45.22,49.7,50.43,41.83,49.61
2016-02-16,47.95,47.0,52.05,43.0,50.82
2016-02-17,51.35,52.96,52.3,45.0,53.83
2016-02-18,55.3,56.78,55.78,54.83,56.7
2016-02-19,41.87,47.35,44.96,43.78,43.3
2016-02-20,37.95,38.84,40.79,25.42,31.63
2016-02-21,51.96,52.39,56.13,45.43,51.52
2016-02-22,44.35,52.52,54.43,49.17,50.87
2016-02-23,46.09,50.0,53.35,51.48,49.35
2016-02-24,48.0,45.79,55.11,46.32,47.79
2016-02-25,43.0,43.17,52.0,39.96,40.61
2016-02-26,48.35,52.3,53.7,51.26,52.09
2016-02-27,41.5,52.31,54.0,49.62,50.5
2016-02-29,48.5,52.21,52.86,51.71,48.36
2016-03-01,44.74,52.22,52.91,51.96,49.96
2016-03-02,50.94,49.76,53.0,47.24,48.29
2016-03-03,45.86,53.07,53.43,47.36,53.21
2016-03-04,47.08,53.62,54.62,51.08,52.38
2016-03-05,41.93,46.86,42.36,41.79,43.14
2016-03-06,42.0,49.22,44.67,36.33,45.56
2016-03-07,39.14,47.29,48.14,36.57,42.29
2016-03-08,51.2,53.8,51.33,47.27,53.0
2016-03-09,51.83,52.57,47.04,41.09,49.87
2016-03-10,50.14,53.09,41.23,43.59,48.23
2016-03-11,54.3,53.65,51.5,47.45,53.3
2016-03-12,46.3,53.04,52.04,48.17,50.04
2016-03-13,41.18,52.68,48.45,43.82,52.59
2016-03-14,50.22,52.7,49.39,49.04,51.78
2016-03-15,53.13,55.39,53.78,54.17,54.39
2016-03-16,51.13,57.35,55.7,54.13,55.74
2016-03-17,53.96,57.96,56.22,59.26,55.78
2016-03-18,55.87,59.04,57.43,59.13,57.83
2016-03-19,59.36,61.27,57.64,61.0,60.73
2016-03-20,57.22,62.3,56.48,63.04,61.43
2016-03-21,59.61,62.04,57.87,68.17,63.0
2016-03-22,59.57,64.22,60.09,62.57,61.78
2016-03-23,58.38,62.29,64.1,55.9,61.76
2016-03-24,57.41,62.14,60.36,57.73,58.41
2016-03-25,58.96,63.35,58.52,66.0,61.61
2016-03-26,56.76,61.9,58.0,61.24,58.95
2016-03-27,56.83,59.0,56.35,58.52,59.39
2016-03-28,57.26,63.3,58.39,55.96,62.78
2016-03-29,62.96,69.87,60.83,65.26,66.43
2016-03-30,77.0,79.78,66.74,68.83,79.78
2016-03-31,74.17,73.39,70.04,70.83,72.74
2016-04-01,68.19,76.71,69.67,62.29,77.24
2016-04-02,68.6,60.15,57.45,63.1,61.0
2016-04-03,59.55,57.73,54.36,58.91,56.36
2016-04-04,56.29,54.62,54.1,57.95,54.33
2016-04-05,55.74,55.39,53.61,58.0,53.43
2016-04-06,53.07,54.79,53.29,58.36,54.14
2016-04-12,68.93,75.73,66.8,67.2,70.4
2016-04-13,63.78,64.74,60.87,58.74,61.43
2016-04-14,67.74,68.61,64.04,59.91,64.57
2016-04-15,58.43,62.39,57.17,54.83,58.7
2016-04-16,56.65,55.65,52.65,56.83,54.52
2016-04-17,58.52,55.57,52.22,60.65,54.52
2016-04-18,58.09,58.7,56.22,58.22,55.74
2016-04-19,67.91,60.91,56.83,64.83,61.0
2016-04-20,60.48,62.74,66.43,58.43,63.0
2016-04-21,59.09,58.3,60.7,60.0,57.39
2016-04-22,58.04,58.83,56.04,57.78,57.7
2016-04-23,56.94,58.75,54.62,60.62,54.56
2016-04-25,51.53,48.73,44.33,53.8,41.0
2016-04-26,61.52,54.35,50.3,59.52,54.13
2016-04-27,66.83,57.91,54.87,66.17,63.0
2016-04-28,70.39,56.26,58.74,65.78,62.57
2016-04-29,70.65,58.61,56.74,68.83,62.96
2016-04-30,68.91,73.39,68.61,65.52,72.91
2016-05-01,64.91,74.0,71.39,65.22,73.7
2016-05-02,55.7,51.22,48.0,52.96,48.87
2016-05-03,61.09,49.83,49.57,56.57,55.91
2016-05-04,54.61,44.39,34.26,53.39,40.48
2016-05-05,52.74,49.74,45.13,52.65,46.87
2016-05-06,60.87,57.78,56.57,60.35,58.17
2016-05-07,63.3,56.7,52.25,64.45,56.35
2016-05-08,62.22,57.26,56.0,55.91,59.57
2016-05-09,58.7,62.78,58.91,59.39,61.65
2016-05-10,51.91,47.3,42.3,48.22,39.96
2016-05-11,53.87,44.39,37.48,57.65,36.09
2016-05-12,57.39,57.87,55.22,51.83,56.57
2016-05-13,60.35,52.61,49.0,53.7,53.83
2016-05-14,59.7,55.43,55.83,50.65,55.43
2016-05-15,56.0,54.65,53.35,52.39,54.7
2016-05-16,53.55,53.18,54.5,42.14,54.77
2016-05-17,62.78,61.17,58.22,55.26,60.61
2016-05-18,70.13,60.57,55.43,67.65,67.57
2016-05-19,58.57,53.35,54.0,47.22,54.43
2016-05-20,57.48,50.04,45.04,49.91,47.43
2016-05-21,55.65,54.13,52.04,51.91,53.0
2016-05-22,32.39,39.0,37.61,32.87,35.91
2016-05-23,51.3,47.17,50.7,47.26,50.52
2016-05-24,56.78,48.48,46.3,47.48,43.43
2016-05-25,48.09,50.26,40.48,43.65,41.52
2016-05-26,45.74,44.17,42.96,38.57,39.0
2016-05-27,39.52,37.7,40.26,35.61,30.91
2016-05-28,35.25,39.75,35.0,43.31,33.31
2016-06-01,64.25,60.12,59.75,63.38,59.75
2016-06-02,60.76,56.1,53.29,58.14,56.05
2016-06-03,70.26,56.43,51.17,63.26,61.22
2016-06-04,64.0,61.62,62.67,62.57,60.76
2016-06-05,62.43,57.87,56.0,60.09,58.17
